"aggregationMode","seasonYear","season","uStar","5%","50%","95%"
"single",NA,NA,0.156346,0.118479,0.140008,0.167065
"year",2024,NA,0.156346,0.118479,0.140008,0.167065
"season",2024,"2024003",0.112059,0.101408,0.125581,0.152795
"season",2024,"2024006",0.156346,0.100695,0.133914,0.167065
"season",2024,"2024009",0.0947969,0.0828761,0.0983868,0.115689
"season",2024,"2024012",0.0772315,0.0515932,0.0753138,0.106002
