"","flag_0","flag_1","flag_2","flag_NA"
"qc_H_SSITC",62.9,23.7,7.7,5.6
"qc_SA_abslim",93.1,0,1.4,5.6
"qc_SA_spikesHF",94.4,0,0,5.6
"qc_H_missfrac",94.4,0,0,5.6
"qc_H_scf",94.4,0,0,5.6
"qc_H_var",94.1,0,0.3,5.6
"qc_H_runs",94.4,0,0,5.6
"qc_H_lowcov",94.4,0,0,5.6
"qc_ALL_wresid",94.4,0,0,5.6
"qc_H_interdep",78.8,21.2,0,0
"qc_H_spikesLF",99.6,0,0.4,0
"qc_ALL_fetch70",100,0,0,0
"qc_H_man",100,0,0,0
