"","flag_0","flag_1","flag_2","flag_NA"
"qc_NEE_SSITC",57.4,25.2,10.3,7
"qc_SAGA_abslim",55.7,22.9,14.4,7
"qc_SAGA_spikesHF",55.3,22.8,14.8,7
"qc_NEE_missfrac",55.3,22.8,14.8,7
"qc_NEE_scf",55.3,22.8,14.9,7
"qc_NEE_runs",55.3,22.8,14.9,7
"qc_NEE_lowcov",55.3,22.8,14.9,7
"qc_ALL_wresid",55.3,22.8,14.9,7
"qc_NEE_interdep",53.8,18.8,20.4,7
"qc_NEE_spikesLF",53.5,16.4,23.1,7
"qc_ALL_fetch70",53.5,16.4,23.1,7
"qc_NEE_man",53.5,16.2,23.2,7
