"","flag_0","flag_1","flag_2","flag_NA"
"qc_LE_SSITC",59.3,22.8,8.7,9.2
"qc_SAGA_abslim",87.4,0,7.1,5.6
"qc_SAGA_spikesHF",93.9,0,0.5,5.6
"qc_LE_missfrac",94.4,0,0,5.6
"qc_LE_scf",90.7,0.1,0,9.2
"qc_LE_runs",90.8,0,0,9.2
"qc_LE_lowcov",90.8,0,0,9.2
"qc_ALL_wresid",94.4,0,0,5.6
"qc_LE_interdep",85.2,14.8,0,0
"qc_LE_spikesLF",98.7,0,1.3,0
"qc_ALL_fetch70",100,0,0,0
"qc_LE_man",100,0,0,0
