"","flag_0","flag_1","flag_2","flag_NA"
"qc_H_SSITC",62.9,23.7,7.7,5.6
"qc_SA_abslim",61.7,23.7,9,5.6
"qc_SA_spikesHF",61.7,23.7,9,5.6
"qc_H_missfrac",61.7,23.7,9,5.6
"qc_H_scf",61.7,23.7,9,5.6
"qc_H_var",61.7,23.5,9.2,5.6
"qc_H_runs",61.7,23.5,9.2,5.6
"qc_H_lowcov",61.7,23.5,9.2,5.6
"qc_ALL_wresid",61.6,23.5,9.2,5.6
"qc_H_interdep",57.4,21.5,15.4,5.6
"qc_H_spikesLF",57.3,21.3,15.8,5.6
"qc_ALL_fetch70",57.3,21.3,15.8,5.6
"qc_H_man",57.3,21.3,15.8,5.6
