"","flag_0","flag_1","flag_2","flag_NA"
"qc_Tau_SSITC",64.4,28.2,1.8,5.6
"qc_SA_abslim",63.1,28.1,3.2,5.6
"qc_SA_spikesHF",63.1,28.1,3.2,5.6
"qc_Tau_missfrac",63.1,28.1,3.2,5.6
"qc_Tau_scf",63.1,28.1,3.2,5.6
"qc_Tau_runs",63.1,28.1,3.2,5.6
"qc_ALL_wresid",63.1,28.1,3.2,5.6
"qc_Tau_man",63.1,27.9,3.5,5.6
