"","flag_0","flag_1","flag_2","flag_NA"
"qc_LE_SSITC",59.3,22.8,8.7,9.2
"qc_SAGA_abslim",57.5,21.8,11.5,9.2
"qc_SAGA_spikesHF",57.1,21.7,11.9,9.2
"qc_LE_missfrac",57.1,21.7,11.9,9.2
"qc_LE_scf",57.1,21.7,12,9.2
"qc_LE_runs",57.1,21.7,12,9.2
"qc_LE_lowcov",57.1,21.7,12,9.2
"qc_ALL_wresid",57.1,21.7,12,9.2
"qc_LE_interdep",56.2,19.5,15.1,9.2
"qc_LE_spikesLF",55.7,18.7,16.4,9.2
"qc_ALL_fetch70",55.7,18.7,16.4,9.2
"qc_LE_man",55.7,18.6,16.5,9.2
