"","flag_0","flag_1","flag_2","flag_NA"
"qc_Tau_SSITC",64.4,28.2,1.8,5.6
"qc_SA_abslim",93.1,0,1.4,5.6
"qc_SA_spikesHF",94.4,0,0,5.6
"qc_Tau_missfrac",94.4,0,0,5.6
"qc_Tau_scf",94.4,0,0,5.6
"qc_Tau_runs",94.4,0,0,5.6
"qc_ALL_wresid",94.4,0,0,5.6
"qc_Tau_man",99.7,0,0.3,0
