TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,Rn_1_1_1,SWout_1_1_1,LWout_1_1_1,Ts_3_1_1,Ts_3_2_1,SWC_3_1_1,SWC_3_2_1,SHF_1_1_1,SHF_1_1_2,SHF_2_1_1,SHF_2_1_2,P_1_1_1,Rg_1_1_1,LWin_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,W+1m-2,W+1m-2,W+1m-2,C,C,m3 m-3,m3 m-3,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm,W+1m-2,W+1m-2
2024-12-01 2100,-3.819333333,74.50433333,0,-40.25165,0.7336643,293.0829,1.542497,1.736216,0.5468217,0.4315874,-7.466945,-9.203628,-9.728759,-9.050787,0,-2.21311,255.778
2024-12-01 2130,-3.998,75.54466667,0,-28.82676,1.387673,290.3461,1.522565,1.716189,0.5468145,0.431571,-7.813263,-9.372312,-9.9519,-9.299476,0,-0.5531902,263.4602
2024-12-01 2200,-4.189666667,76.03633333,0,-27.17466,1.25353,292.5757,1.455023,1.662608,0.5466937,0.4315311,-8.373607,-9.677086,-10.07602,-9.525763,0,-0.4414829,267.096
2024-12-01 2230,-4.381333333,75.817,0,-25.86444,1.109657,294.4099,1.417783,1.634737,0.5465208,0.431499,-8.749548,-9.800004,-10.13139,-9.681028,0,-0.7396569,270.3948
2024-12-01 2300,-4.853333333,78.51966667,0,-48.67839,0.8511227,285.1475,1.435612,1.653239,0.5463638,0.4314876,-8.973791,-9.892298,-10.20973,-9.801813,0,-2.748821,240.069
2024-12-01 2330,-5.305,80.34733333,0,-45.53909,1.128135,280.9079,1.44526,1.659042,0.546232,0.4314612,-9.235778,-10.0193,-10.33094,-9.919153,0,-2.026192,238.5231
2024-12-02 0000,-5.755333333,81.30233333,0,-54.11284,1.361945,273.9851,1.432935,1.643677,0.5460553,0.4314327,-9.536416,-10.20041,-10.51631,-10.06636,0,-1.924642,223.1588
2024-12-02 0030,-6.057666667,85.16666667,0,-31.93499,0.838705,278.059,1.332988,1.558424,0.5458983,0.4314077,-9.831065,-10.42813,-10.74849,-10.24252,0,-1.195492,248.1582
2024-12-02 0100,-4.771333333,82.61333333,0,-9.326427,1.742273,292.3024,1.161579,1.399506,0.5457223,0.4313863,-10.12261,-10.66124,-11.00089,-10.4473,0,1.106695,283.6116
2024-12-02 0130,-4.485,81.31333333,0,-12.02387,1.344505,296.4616,1.099252,1.340485,0.5455654,0.4313642,-10.278,-10.79498,-11.17276,-10.62774,0,0.5120463,285.2702
