"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm year-1","MJ m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","mm year-1","g(C) m-2 year-1","g(C) m-2 year-1","g(C) m-2 year-1","g(C) m-2 year-1","g(C) m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","g(C) m-2 year-1","MJ m-2 year-1","C year-1","C year-1","hPa year-1","mm year-1","g(C) m-2 year-1","g(C) m-2 year-1","-","-","-","days year-1","days year-1","%","%","%"
"2024",366,11.6867,-9999,69.2418,-9999,181.131,-9999,379.971,25.0627,0.21949,59.0054,0.261726,4816.9,0.261726,0.74668,0.393784,3.27286,3.6663,4.01954,4.70837,0.59266,0.703513,0.0398625,0.606995,0.282959,0.0616108,0.133511,57.4308,0.0450838,0.576901,-9999,5727.8,-9999,2629.24,792.543,1865.89,42311600,-283.342,1241.95,1391.25,1525.29,1786.68,18.7413,22.2468,15.1266,19.1946,4971.02,1082.38,2345.52,504472,17.1079,218.916,0.424753,0.701876,-9999,69,267,78.5,74.3,61.5
