"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","C day-1","C day-1","hPa day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","-","-","-","days day-1","days day-1","%","%","%"
"2024-01-10",1,-6.03873,0.493293,85.4194,0.610076,93.8642,-10.9955,196.757,0.375,-7.06378,0.3125,2.67928,0.375,213.968,0.375,1.06714,0.479167,-0.181446,0.0983451,0.88569,0.476015,14.1432,5.2285,0.188511,8.37353,10.3396,0.233942,0.255011,415.082,0.260033,0.281374,1.27,8.10987,-0.950007,3.71987,-0.61031,0.23149,5135.22,-1.10641,-0.188124,0.101964,0.918283,0.493533,1.22197,0.451742,0.195448,0.723473,496.302,11.2292,12.2405,9961.98,0.269602,0.291729,-2.63644,-0.611081,0.398755,0,0,68.8,62.5,52.1
"2024-01-11",1,-11.4296,0.393458,79.8661,-9999,81.0092,-2.65384,179.448,0.37312,5.25537,0.125,8.10677,0.25,640.215,0.25,1.07677,0.354167,-0.13467,0.0964899,0.942104,0.472267,6.83937,4.19608,0.149893,7.76602,10.0826,0.666833,0.255382,331.52,0.261696,0.303132,0.762,6.9992,-0.229291,3.39262,0.454064,0.700425,15365.1,-1.1164,-0.139626,0.100041,0.976773,0.489646,0.590922,0.362542,0.155409,0.670984,483.964,32.008,12.2583,7956.49,0.271327,0.314287,0.648269,0.606697,-5.03503,0,0,87.5,75,64.6
"2024-01-12",1,-15.6931,-9999,80.3402,-9999,68.4086,-9999,171.614,-9999,-7.95218,0.895833,2.60502,1.1875,205.396,1.1875,1.19745,1.1875,-0.28214,0.0912309,0.915306,0.446914,14.4077,-9999,-9999,5.0946,9.72598,0.684572,0.242582,-9999,-9999,-9999,5.08,5.9105,-9999,3.24452,-0.687068,0.225074,4929.51,-1.24151,-0.292523,0.0945882,0.94899,0.46336,1.24483,-9999,-9999,0.440174,466.847,32.8595,11.644,-9999,-9999,-9999,-3.05263,-0.487179,-9999,0,0,22.9,0,0
"2024-01-13",1,-21.9556,-9999,70.0976,-9999,110.428,-9999,218.299,-9999,-3.35391,1,2.7088,1,212.086,1,0.989556,1,-0.13954,0.0942582,0.850017,0.418099,-9999,-9999,-9999,9.10009,9.62032,-9999,0.236631,-9999,-9999,-9999,0.254,9.54102,-9999,4.12714,-0.289778,0.23404,5090.06,-1.02597,-0.144675,0.0977269,0.881297,0.433485,-9999,-9999,-9999,0.786247,461.775,-9999,11.3583,-9999,-9999,-9999,-1.23815,-4.19896,-9999,0,0,0,0,0
"2024-01-14",1,-25.6772,-9999,63.8166,-9999,104.083,-9999,202.959,-9999,-0.488307,1,2.93718,1,229.548,1,1.05682,1,-0.203606,0.0943791,0.85321,0.412746,-9999,-9999,-9999,9.06437,9.27669,-9999,0.220288,-9999,-9999,-9999,0,8.99273,-9999,3.83712,-0.0421897,0.253773,5509.15,-1.09571,-0.211099,0.0978522,0.884608,0.427935,-9999,-9999,-9999,0.783162,445.281,-9999,10.5738,-9999,-9999,-9999,-0.16625,1.1994,-9999,0,0,0,0,0
"2024-01-15",1,-20.2926,-9999,65.6823,-9999,82.0505,-9999,179.295,-9999,-13.8658,1,1.14,1,89.6978,1,1.1217,1,-0.240501,0.098053,0.881198,0.414609,-9999,-9999,-9999,6.11339,9.05259,-9999,0.209829,-9999,-9999,-9999,0,7.08916,-9999,3.38974,-1.19801,0.098496,2152.75,-1.16298,-0.249352,0.101661,0.913626,0.429867,-9999,-9999,-9999,0.528197,434.524,-9999,10.0718,-9999,-9999,-9999,-12.163,-0.0895815,-9999,0,0,0,0,0
"2024-01-16",1,-18.0697,-9999,58.1196,-9999,142.486,-9999,257.916,-9999,-11.1226,0.770833,2.95399,0.645833,232.939,0.645833,1.17399,0.645833,-0.273631,0.100031,0.900363,0.413862,9.54177,2.19219,0.116198,9.21424,8.97198,0.759566,0.231739,172.953,0.301063,0.242382,0,12.3108,-9999,4.87613,-0.960992,0.255225,5590.55,-1.2172,-0.283701,0.103712,0.933496,0.429092,0.824409,0.189405,0.120474,0.79611,430.655,36.4592,11.1235,4150.88,0.312142,0.251302,-3.76528,-0.361627,-9999,0,0,22.9,35.4,35.4
"2024-01-17",1,-9.58825,-1.08829,70.7802,0.913112,105.218,0.694578,224.813,0.357347,-1.3659,0.145833,3.23738,0.104167,257.185,0.104167,0.912978,0.666667,0.0276345,0.100091,0.940612,0.418253,6.78253,3.01795,0.211769,8.74519,9.97487,0.60487,0.23119,239.195,0.252171,0.33695,0,9.09081,0.0600115,4.2503,-0.118014,0.279709,6172.44,-0.946575,0.0286514,0.103775,0.975226,0.433645,0.586011,0.260751,0.219562,0.755585,478.794,29.0338,11.0971,5740.69,0.261451,0.34935,-0.421915,1.72985,2.69441,0,0,85.4,89.6,33.3
"2024-01-18",1,-10.8894,-0.914845,82.1872,-9999,58.8174,-16.0267,153.653,0.353236,-3.40996,0.333333,2.5715,0.770833,203.733,0.770833,1.08342,1.02083,-0.0967011,0.096707,0.986716,0.424392,5.80911,4.05601,0.201107,4.99995,10.8645,0.56251,0.21048,321.317,0.3083,0.299697,1.524,5.08183,-1.38471,2.90495,-0.29462,0.222177,4889.6,-1.12329,-0.10026,0.100266,1.02303,0.44001,0.501907,0.350439,0.208508,0.431996,521.498,27.0005,10.103,7711.6,0.319646,0.310726,-1.32606,-3.06693,0.0523165,0,0,66.7,31.2,12.5
"2024-01-19",1,-18.6887,-1.23757,70.6908,0.430112,133.683,-30.064,263.69,0.348786,-13.6139,0.0208333,2.99722,0.0208333,236.273,0.0208333,1.1866,0.291667,-0.283981,0.09557,0.902618,0.412956,4.00184,1.55828,0.0686559,9.22139,10.8916,0.265951,0.246408,122.649,0.214273,0.270074,0,11.5502,-2.59753,4.98529,-1.17624,0.258959,5670.55,-1.23027,-0.294432,0.099087,0.935835,0.428152,0.345759,0.134635,0.0711825,0.796728,522.798,12.7657,11.8276,2943.58,0.222158,0.280013,-4.54219,-0.282311,0.353138,0,0,97.9,97.9,70.8
