"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","MJ m-2 day-1","g(C) m-2 day-1","MJ m-2 day-1","C day-1","C day-1","hPa day-1","mm day-1","g(C) m-2 day-1","g(C) m-2 day-1","-","-","-","days day-1","days day-1","%","%","%"
"2024-01-10",1,-6.03873,0.493293,85.4194,0.610076,93.8642,-10.9955,196.757,-7.06378,0.3125,2.67928,0.375,213.968,0.375,1.06652,0.479167,-0.179087,0.582285,0.887433,2.98805,14.1756,5.23774,0.192024,8.37353,10.3396,0.233942,0.255011,415.813,1.71237,1.17681,1.27,8.10987,-0.950007,3.71987,-0.61031,0.23149,5135.22,-1.10577,-0.185678,0.603713,0.920091,3.09801,1.22477,0.452541,0.199091,0.723473,496.302,11.2292,12.2405,9979.51,1.77538,1.22012,-2.63644,-0.611081,0.398755,0,0,68.8,62.5,52.1
"2024-01-11",1,-11.4296,0.393458,79.8661,-9999,81.0092,-2.65384,179.448,5.25537,0.125,8.10677,0.25,640.215,0.25,1.07861,0.354167,-0.132538,0.571661,0.946075,2.92431,6.85481,4.20337,0.152987,7.76602,10.0826,0.666833,0.255382,332.093,2.26353,1.91111,0.762,6.9992,-0.229291,3.39262,0.454064,0.700425,15365.1,-1.11831,-0.137416,0.592698,0.98089,3.03192,0.592255,0.363171,0.158617,0.670984,483.964,32.008,12.2583,7970.24,2.34683,1.98144,0.648269,0.606697,-5.03503,0,0,87.5,75,64.6
"2024-01-12",1,-15.6931,-9999,80.3402,-9999,68.4086,-9999,171.614,-7.95218,0.895833,2.60502,1.1875,205.396,1.1875,1.20526,1.1875,-0.285061,0.549352,0.920201,2.65372,14.4668,-9999,-9999,5.0946,9.72598,0.684572,0.242582,-9999,-9999,-9999,5.08,5.9105,-9999,3.24452,-0.687068,0.225074,4929.51,-1.24962,-0.295551,0.569568,0.954065,2.75138,1.24993,-9999,-9999,0.440174,466.847,32.8595,11.644,-9999,-9999,-9999,-3.05263,-0.487179,-9999,0,0,22.9,0,0
"2024-01-13",1,-21.9556,-9999,70.0976,-9999,110.428,-9999,218.299,-3.35391,1,2.7088,1,212.086,1,0.991797,1,-0.141353,0.566058,0.850444,2.36618,-9999,-9999,-9999,9.10009,9.62032,-9999,0.236631,-9999,-9999,-9999,0.254,9.54102,-9999,4.12714,-0.289778,0.23404,5090.06,-1.02829,-0.146555,0.586889,0.881741,2.45325,-9999,-9999,-9999,0.786247,461.775,-9999,11.3583,-9999,-9999,-9999,-1.23815,-4.19896,-9999,0,0,0,0,0
"2024-01-14",1,-25.6772,-9999,63.8166,-9999,104.083,-9999,202.959,-0.488307,1,2.93718,1,229.548,1,1.05797,1,-0.203227,0.559014,0.854742,2.2826,-9999,-9999,-9999,9.06437,9.27669,-9999,0.220288,-9999,-9999,-9999,0,8.99273,-9999,3.83712,-0.0421897,0.253773,5509.15,-1.0969,-0.210706,0.579586,0.886196,2.3666,-9999,-9999,-9999,0.783162,445.281,-9999,10.5738,-9999,-9999,-9999,-0.16625,1.1994,-9999,0,0,0,0,0
"2024-01-15",1,-20.2926,-9999,65.6823,-9999,82.0505,-9999,179.295,-13.8658,1,1.14,1,89.6978,1,1.12609,1,-0.24237,0.547664,0.883717,2.25666,-9999,-9999,-9999,6.11339,9.05259,-9999,0.209829,-9999,-9999,-9999,0,7.08916,-9999,3.38974,-1.19801,0.098496,2152.75,-1.16753,-0.251289,0.567819,0.916238,2.33971,-9999,-9999,-9999,0.528197,434.524,-9999,10.0718,-9999,-9999,-9999,-12.163,-0.0895815,-9999,0,0,0,0,0
"2024-01-16",1,-18.0697,-9999,58.1196,-9999,142.486,-9999,257.916,-11.1226,0.770833,2.95399,0.645833,232.939,0.645833,1.17863,0.6875,-0.274748,0.580536,0.903883,2.21128,9.57107,2.19623,0.125426,9.21424,8.97198,0.759566,0.231739,173.271,2.34657,1.64145,0,12.3108,-9999,4.87613,-0.960992,0.255225,5590.55,-1.222,-0.284859,0.6019,0.937146,2.29266,0.826941,0.189755,0.130042,0.79611,430.655,36.4592,11.1235,4158.51,2.43292,1.70185,-3.76528,-0.361627,-9999,0,0,22.9,35.4,31.2
"2024-01-17",1,-9.58825,-1.08829,70.7802,0.913112,105.218,0.694578,224.813,-1.3659,0.145833,3.23738,0.104167,257.185,0.104167,0.918765,0.708333,0.026332,0.532245,0.945097,2.20572,6.79739,3.02316,0.243614,8.74519,9.97487,0.60487,0.23119,239.606,2.02696,1.97036,0,9.09081,0.0600115,4.2503,-0.118014,0.279709,6172.44,-0.952575,0.0273011,0.551831,0.979876,2.2869,0.587295,0.261201,0.252579,0.755585,478.794,29.0338,11.0971,5750.55,2.10155,2.04287,-0.421915,1.72985,2.69441,0,0,85.4,89.6,29.2
"2024-01-18",1,-10.8894,-0.914845,82.1872,-9999,58.8174,-16.0267,153.653,-3.40996,0.333333,2.5715,0.770833,203.733,0.770833,1.08665,1.02083,-0.0926046,0.522844,0.994048,2.21303,5.82093,4.06114,0.202078,4.99995,10.8645,0.56251,0.21048,321.721,2.21025,1.46511,1.524,5.08183,-1.38471,2.90495,-0.29462,0.222177,4889.6,-1.12664,-0.0960124,0.542085,1.03063,2.29447,0.502928,0.350883,0.209514,0.431996,521.498,27.0005,10.103,7721.29,2.29159,1.51902,-1.32606,-3.06693,0.0523165,0,0,66.7,31.2,12.5
"2024-01-19",1,-18.6887,-1.23757,70.6908,0.430112,133.683,-30.064,263.69,-13.6139,0.0208333,2.99722,0.0208333,236.273,0.0208333,1.19357,0.3125,-0.278183,0.527871,0.915389,2.08742,4.011,1.56098,0.070418,9.22139,10.8916,0.265951,0.246408,122.861,1.53366,1.41128,0,11.5502,-2.59753,4.98529,-1.17624,0.258959,5670.55,-1.23749,-0.28842,0.547297,0.949075,2.16424,0.346551,0.134869,0.0730094,0.796728,522.798,12.7657,11.8276,2948.66,1.5901,1.46322,-4.54219,-0.282311,0.353138,0,0,97.9,97.9,68.8
"2024-01-20",1,-20.2207,-1.75089,73.9882,0.350587,144.487,-4.27055,263.774,-4.14616,0.1875,0.716556,0.166667,56.5254,0.166667,1.01605,0.416667,-0.23808,0.520843,0.777966,1.91979,3.88704,1.75911,0.099092,10.0394,11.0036,0.245306,0.251875,138.215,1.51111,1.43344,0,12.4837,-0.368975,4.98689,-0.358228,0.0619104,1356.61,-1.05344,-0.246842,0.54001,0.806596,1.99044,0.335841,0.151987,0.102739,0.867405,528.174,11.7747,12.09,3317.17,1.56672,1.48619,-5.78624,-0.208932,0.803083,0,0,81.2,83.3,58.3
"2024-01-21",1,-8.17273,-1.4668,69.8129,1.07798,119.397,-5.36396,247.185,-19.6105,0.0208333,10.391,0.104167,826.974,0.104167,1.01257,0.0416667,-0.27897,0.499396,0.733598,1.95287,6.06429,2.94365,0.113372,9.1012,10.8722,0.372411,0.315013,234.356,1.23191,0.985067,0,10.3159,-0.463446,4.67325,-1.69435,0.897779,19847.4,-1.04983,-0.289236,0.517774,0.760594,2.02473,0.523954,0.254332,0.117544,0.786344,521.865,17.8757,15.1206,5624.54,1.27724,1.02132,-1.88726,-1.12706,1.71879,0,0,97.9,89.6,95.8
"2024-01-22",1,-0.623479,-0.828848,88.6945,0.637795,57.8483,-1.01958,151.587,-7.42868,0.0625,2.24755,0.0625,179.693,0.0625,0.858664,0.333333,-0.152271,0.473355,0.706393,2.07255,4.38343,2.70657,0.148862,4.18382,9.82537,0.353323,0.296942,215.89,1.51798,1.48454,0,4.99809,-0.0880915,2.86589,-0.641838,0.194189,4312.62,-0.890263,-0.157875,0.490775,0.732388,2.14882,0.378728,0.233848,0.15434,0.361482,471.618,16.9595,14.2532,5181.37,1.57384,1.53918,-3.30523,-0.433796,5.08164,0,0,93.8,93.8,66.7
"2024-01-23",1,0.475979,-0.43578,97.77,0.148146,58.3281,14.7931,152.508,1.22076,0.3125,1.11524,0.4375,89.176,0.4375,0.704153,0.645833,-0.0636432,0.463848,0.64051,2.13052,4.79434,2.89747,0.212828,5.17612,9.24681,0.283085,0.345256,231.693,2.07778,2.3734,0,5.03954,1.27812,2.8833,0.105473,0.096357,2140.22,-0.730066,-0.0659853,0.480918,0.664081,2.20892,0.414231,0.250341,0.22066,0.447217,443.847,13.5881,16.5723,5560.63,2.15425,2.46074,1.09461,0.477416,0.157911,0,0,68.8,56.2,35.4
