"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","MJ m-2 week-1","g(C) m-2 week-1","MJ m-2 week-1","C week-1","C week-1","hPa week-1","mm week-1","g(C) m-2 week-1","g(C) m-2 week-1","-","-","-","days week-1","days week-1","%","%","%"
"10_24",7,4.37496,4.37162,51.2469,-9999,151.791,64.9263,311.477,0.454938,42.2678,0.241071,18.2325,0.28869,1470.38,0.28869,0.563813,0.473214,0.442703,0.370954,1.00652,0.733318,4.55413,2.5139,0.0925082,3.92722,2.72336,0.447338,0.908722,202.378,0.147183,0.104893,0.254,91.8031,39.2674,41.2213,25.5636,11.027,247024,-4.09193,3.21296,2.69223,7.30489,5.32213,2.75434,1.52041,0.671388,2.37518,915.05,150.305,305.33,33999.5,1.06819,0.761274,2.31827,0.301362,0.931831,0,4,75.9,71.7,54.5
"11_24",7,8.47917,6.7455,59.67,5.58419,182.603,76.8648,375.645,0.447968,36.4935,0.0922619,32.1346,0.142857,2597.11,0.142857,0.654013,0.252976,1.00718,1.1661,1.66119,2.10919,4.06154,2.79661,0.122186,4.13695,2.72737,0.503876,0.886434,225.69,0.0328108,0.030637,10.668,110.438,46.4879,49.7134,22.0712,19.435,436314,-4.74656,7.30972,8.46306,12.0563,15.3077,2.45642,1.69139,0.886779,2.50203,916.395,169.302,297.842,37915.9,0.238127,0.222351,1.13564,0.468243,0.89284,0,6,91.1,85.7,74.7
"12_24",7,3.12667,4.41415,55.7365,-9999,160.012,75.4174,329.685,0.438983,44.5853,0.110119,27.5659,0.119048,2216.38,0.119048,0.414004,0.238095,0.882065,1.06873,1.29607,1.67208,3.98526,2.77072,0.115183,3.9599,2.30788,0.462389,0.643854,222.4,0.023299,0.0190269,13.97,96.7756,45.6124,43.6309,26.9652,16.6719,372352,-3.00467,6.40168,7.75644,9.40635,12.1353,2.41028,1.67573,0.835954,2.39495,775.446,155.363,216.335,37363.2,0.169095,0.138089,1.61741,0.382058,0.956692,1,3,89.3,88.1,76.5
"13_24",7,4.9178,4.89217,68.0623,3.65088,163.322,81.2827,340.352,0.471374,43.9838,0.139881,32.0081,0.169643,2579.73,0.169643,0.0449677,0.261905,1.30445,1.73238,1.34942,2.09628,3.87721,3.35715,0.145745,4.06662,2.29261,0.471167,0.649761,270.422,0.0462439,0.0476741,2.54,98.7774,49.1598,45.0427,26.6014,19.3585,433394,-0.326357,9.46718,12.5729,9.79353,15.214,2.34493,2.0304,1.05776,2.45949,770.316,158.312,218.32,45430.9,0.33562,0.345999,1.37415,0.421204,0.934909,4,4,86.3,83,73.8
"14_24",7,8.20037,7.11949,61.972,-9999,212.676,110.31,438.432,0.463888,51.4569,0.208333,51.9097,0.294643,4197.06,0.294643,0.0813875,0.333333,2.25108,2.35563,2.33247,2.65176,5.38324,4.84043,0.256309,5.10506,1.9864,0.44609,0.801553,391.25,0.0671324,0.0838307,7.112,128.627,66.7158,58.0227,31.1211,31.395,705106,-0.590678,16.3375,17.0962,16.9281,19.2454,3.25578,2.92749,1.86019,3.08754,667.429,149.886,269.322,65729.9,0.48722,0.608409,0.991277,0.50219,0.937052,4,7,79.2,70.5,66.7
"15_24",7,13.2669,9.27776,48.3648,10.5443,271.285,138.929,562.482,0.444086,40.0699,0.145833,86.7112,0.136905,7062.68,0.136905,-2.11343,0.41369,5.5656,5.68706,3.45217,3.99178,5.32254,5.42667,0.339413,5.32119,2.61099,0.531019,1.39312,441.539,0.0971307,0.106034,0,164.073,84.0241,74.4396,24.2343,52.4429,1186530,15.3384,40.3929,41.2744,25.0545,28.9707,3.21907,3.28205,2.46332,3.21825,877.291,178.422,468.089,74178.5,0.704936,0.769554,0.462108,0.683944,0.912562,7,7,85.4,86.3,60.4
"16_24",7,11.1772,11.038,55.7925,7.22509,252.163,138.85,525.051,0.385616,35.6519,0.130952,98.9962,0.1875,8033.35,0.1875,-2.54166,0.383929,6.87084,6.85176,4.32918,4.32226,4.05984,6.50309,0.349966,5.85431,2.75367,0.656594,1.35576,526.626,0.157967,0.153544,17.018,152.508,83.9762,69.486,21.5622,59.8729,1349600,18.4463,49.8658,49.7273,31.4195,31.3692,2.45539,3.93307,2.53991,3.54069,925.233,220.616,455.534,88473.1,1.14646,1.11436,0.360134,0.735222,0.969741,6,6,87.2,81.2,63.4
"17_24",7,14.1758,11.456,66.2441,-9999,181.641,102.39,385.517,0.394845,14.5118,0.220238,77.9477,0.294643,6335.12,0.294643,-1.37594,0.404762,5.90989,6.76608,4.53396,5.72386,4.53688,6.41396,0.393562,5.34244,2.12782,0.513694,0.981753,520.733,0.114287,0.103634,43.942,109.856,61.9254,51.0199,8.77676,47.1428,1064300,9.986,42.8916,49.1055,32.9056,41.5415,2.74391,3.87916,2.85632,3.23111,714.947,172.601,329.869,87483.2,0.82945,0.752131,0.186174,0.843047,0.903014,6,7,79.8,72.6,61.6
"18_24",7,13.4383,12.3681,70.929,-9999,225.45,132.517,472.706,0.496536,8.17887,0.241071,113.195,0.291667,9202.26,0.291667,-4.53401,0.404762,10.0987,10.0261,5.56467,5.85782,5.17898,7.76433,0.483312,5.79797,1.58166,0.378307,1.08448,631.319,0.112974,0.147265,39.624,136.352,80.1461,62.5586,4.94658,68.4603,1545980,32.906,73.2922,72.7654,40.3862,42.5138,3.13225,4.69587,3.50769,3.50661,531.439,127.111,364.386,106062,0.819917,1.06879,0.0722547,0.932614,0.915914,7,7,76.5,71.4,60.4
"19_24",7,17.3786,13.7471,58.9138,-9999,253.679,146.652,531.477,0.521062,-8.23249,0.157738,150.794,0.205357,12311.1,0.205357,-3.90821,0.369048,11.0043,10.5461,7.09607,6.80713,5.16112,9.87083,0.625246,5.71918,1.67678,0.495741,1.27078,804.969,0.0983569,0.0965278,24.638,153.425,88.6952,70.3363,-4.97901,91.2001,2068260,28.3642,79.8646,76.5394,51.5004,49.4034,3.12145,5.96988,4.53779,3.45896,563.398,166.569,426.981,135235,0.713835,0.70056,-0.0545944,1.05775,0.972106,7,7,84.2,80.4,63.1
"20_24",7,18.6166,15.8889,64.7873,9.43439,248.427,138.075,523.084,0.458541,-2.44144,0.157738,125.167,0.1875,10232.9,0.1875,-1.14952,0.330357,9.90632,10.6094,8.7568,9.85368,4.93058,7.97809,0.498768,5.18698,1.58906,0.511368,1.31845,651.531,0.130974,0.102411,16.764,150.249,83.5078,69.2257,-1.47658,75.7008,1719130,8.34277,71.8961,76.999,63.5533,71.5141,2.98202,4.82515,3.61986,3.13708,533.925,171.82,442.999,109457,0.950558,0.743257,-0.0195055,1.01989,0.88883,5,7,84.2,81.2,67
"21_24",7,19.1101,17.1355,66.5312,-9999,287.26,172.971,610.196,0.557905,-0.283872,0.238095,159.564,0.270833,13032.3,0.270833,-1.67321,0.342262,10.1156,10.7098,8.44239,9.35188,5.18432,8.2446,0.404119,5.73749,1.49613,0.412566,1.29185,673.637,0.150885,0.126684,82.042,173.735,104.613,80.7542,-0.171686,96.5045,2189430,12.1435,73.415,77.7276,61.2715,67.8722,3.13548,4.98633,2.93293,3.47004,502.7,138.622,434.062,113171,1.09506,0.919422,-0.00177904,1.00178,0.920848,6,7,76.2,72.9,65.8
"22_24",7,19.8838,18.0093,67.7148,-9999,246.137,144.331,536.788,0.542946,-1.13207,0.178571,130.422,0.196429,10662.5,0.196429,-0.319878,0.333333,9.94007,10.972,9.6202,11.3672,4.42516,7.23167,0.447722,5.24388,1.39831,0.4404,1.29173,590.859,0.186126,0.137016,49.53,148.863,87.2912,71.0392,-0.684676,78.879,1791290,2.32155,72.1411,79.6305,69.8195,82.4985,2.67634,4.37371,3.24939,3.1715,469.831,147.974,434.02,99264.4,1.35083,0.994405,-0.00868008,1.00876,0.895787,4,7,82.1,80.4,66.7
