"Intervals","days","Tair_mean","Tsoil_mean","RH_mean","VPD_mean","GR_mean","Rn_mean","PAR_mean","SWC_mean","H_f_mean","H_fqc_mean","LE_f_mean","LE_fqc_mean","ET_f_mean","ET_fqc_mean","NEE_uStar_f_mean","NEE_uStar_fqc_mean","GPP_uStar_f_mean","GPP_DT_uStar_mean","Reco_uStar_mean","Reco_DT_uStar_mean","H_fsd_mean","LE_fsd_mean","NEE_uStar_fsd_mean","Rg_fsd_mean","Tair_fsd_mean","Tsoil_fsd_mean","VPD_fsd_mean","ET_fsd_mean","Reco_DT_uStar_SD_mean","GPP_DT_uStar_SD_mean","P_sum","GR_sum","Rn_sum","PAR_sum","H_f_sum","LE_f_sum","ET_f_sum","NEP_uStar_f_sum","GPP_uStar_f_sum","GPP_DT_uStar_sum","Reco_uStar_sum","Reco_DT_uStar_sum","H_fsd_sum","LE_fsd_sum","NEP_uStar_fsd_sum","Rg_fsd_sum","Tair_fsd_sum","Tsoil_fsd_sum","VPD_fsd_sum","ET_fsd_sum","Reco_DT_uStar_SD_sum","GPP_DT_uStar_SD_sum","bowen_ratio_f","evaporative_fraction","closure_fraction","CUP","GSL","H_orig","LE_orig","NEE_uStar_orig"
"-","-","C","C","%","Pa","W+1m-2","W+1m-2","umol+1m-2s-1","m3 m-3","W+1m-2","-","W+1m-2","-","mm hour-1","-","umol+1s-1m-2","-","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","umol+1s-1m-2","W+1m-2","W+1m-2","umol+1s-1m-2","-","C","C","hPa","mm hour-1","umol+1s-1m-2","umol+1s-1m-2","mm year-1","MJ m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","mm year-1","g(C) m-2 year-1","g(C) m-2 year-1","g(C) m-2 year-1","g(C) m-2 year-1","g(C) m-2 year-1","MJ m-2 year-1","MJ m-2 year-1","g(C) m-2 year-1","MJ m-2 year-1","C year-1","C year-1","hPa year-1","mm year-1","g(C) m-2 year-1","g(C) m-2 year-1","-","-","-","days year-1","days year-1","%","%","%"
"2024",366,11.6867,-9999,69.2418,-9999,181.131,-9999,379.971,-9999,24.972,0.218352,59.0324,0.261555,4819.1,0.261555,0.811843,0.380294,3.3302,3.6469,4.14204,4.51324,0.594974,0.704243,0.0429717,0.606995,0.282959,0.0616108,0.133511,57.4902,0.0285741,0.769494,-9999,5727.8,-9999,2629.24,789.673,1866.75,42330900,-308.069,1263.71,1383.88,1571.77,1712.63,18.8145,22.2698,16.3064,19.1946,4971.02,1082.38,2345.52,504994,10.843,291.999,0.423021,0.70273,-9999,68,267,78.6,74.4,62.8
